country_code,country,gdp_per_capita,gdp_per_capita_from_date,gdp_per_capita_to_date,labor_force_participation_rate,labor_force_participation_rate_from_date,labor_force_participation_rate_to_date,imports,imports_from_date,imports_to_date,exports,exports_from_date,exports_to_date,internet_speed,internet_speed_from_date,internet_speed_to_date,capital_flows,capital_flows_from_date,capital_flows_to_date,remittances,remittances_from_date,remittances_to_date,tourism_revenue,tourism_revenue_from_date,tourism_revenue_to_date,electricity_production,electricity_production_from_date,electricity_production_to_date,steel_production,steel_production_from_date,steel_production_to_date,corporate_tax_rate,corporate_tax_rate_from_date,corporate_tax_rate_to_date,inflation_rate,inflation_rate_from_date,inflation_rate_to_date,interest_rate,interest_rate_from_date,interest_rate_to_date,unemployment_rate,unemployment_from_date,unemployment_to_date,population,population_from_date,population_to_date
CL,Chile,7924,1960-01-01,2019-01-01,7975,1960-01-01,2019-01-01,7950,1960-01-01,2019-01-01,7867,1960-01-01,2019-01-01,7973,2017-01-01,2019-01-01,7809,2002-01-01,2018-01-01,8015,1983-01-01,2019-01-01,8036,1995-01-01,2018-01-01,7854,1971-01-01,2015-01-01,8030,2008-01-01,2018-01-01,7829,2003-01-01,2019-01-01,7958,1971-01-01,2019-01-01,7969,1985-01-01,2018-01-01,7969,1985-01-01,2018-01-01,8005,1960-01-01,2019-01-01
CN,China,8209,1952-01-01,2018-01-01,8272,1982-01-01,2016-01-01,8241,1960-01-01,2019-01-01,8152,1960-01-01,2019-01-01,8270,2017-01-01,2019-01-01,8074,2003-01-01,2019-01-01,8321,1982-01-01,2019-01-01,8345,1978-01-01,2018-01-01,8137,1971-01-01,2015-01-01,8336,2008-01-01,2018-01-01,8108,2003-01-01,2018-01-01,8253,1987-01-01,2019-01-01,8266,1980-01-01,2019-01-01,8266,1980-01-01,2019-01-01,8310,1949-01-01,2019-01-01
CO,Colombia,8507,1960-01-01,2019-01-01,8563,1964-01-01,2019-01-01,8536,1960-01-01,2019-01-01,8455,1960-01-01,2019-01-01,8561,2017-01-01,2019-01-01,8392,1994-01-01,2013-01-01,8600,1970-01-01,2019-01-01,8622,1995-01-01,2018-01-01,8442,1971-01-01,2015-01-01,8614,2008-01-01,2018-01-01,8413,2003-01-01,2020-01-01,8544,1961-01-01,2019-01-01,8557,1986-01-01,2019-01-01,8557,1986-01-01,2019-01-01,8589,1960-01-01,2019-01-01
CZ,Czech Republic,10445,1990-01-01,2019-01-01,10526,1991-01-01,2019-01-01,10491,1993-01-01,2019-01-01,10382,1993-01-01,2019-01-01,10521,2017-01-01,2019-01-01,10294,1993-01-01,2019-01-01,10581,1993-01-01,2019-01-01,10604,1995-01-01,2018-01-01,10362,1971-01-01,2015-01-01,10599,2008-01-01,2018-01-01,10330,2003-01-01,2020-01-01,10503,1992-01-01,2019-01-01,10519,1993-01-01,2019-01-01,10519,1993-01-01,2019-01-01,10570,1960-01-01,2019-01-01
DZ,Algeria,534,1960-01-01,2019-01-01,589,1966-01-01,2017-01-01,560,1960-01-01,2019-01-01,473,1960-01-01,2019-01-01,587,2017-01-01,2019-01-01,405,2005-01-01,2017-01-01,629,1970-01-01,2019-01-01,642,1995-01-01,2017-01-01,457,1971-01-01,2015-01-01,636,2008-01-01,2018-01-01,430,2013-01-01,2020-01-01,569,1970-01-01,2019-01-01,585,1980-01-01,2019-01-01,585,1980-01-01,2019-01-01,617,1960-01-01,2019-01-01
EG,Egypt,12244,1992-01-01,2019-01-01,12312,1992-01-01,2019-01-01,12283,1960-01-01,2019-01-01,12171,1960-01-01,2019-01-01,12310,2017-01-01,2019-01-01,12089,1990-01-01,2019-01-01,12366,1977-01-01,2019-01-01,12378,2000-01-01,2016-01-01,12154,1971-01-01,2015-01-01,12372,2008-01-01,2018-01-01,12122,2003-01-01,2020-01-01,12292,1961-01-01,2018-01-01,12306,1976-01-01,2019-01-01,12306,1976-01-01,2019-01-01,12354,1950-01-01,2025-01-01
GT,Guatemala,16777,1960-01-01,2019-01-01,16831,1964-01-01,2017-01-01,16808,1960-01-01,2019-01-01,16721,1960-01-01,2019-01-01,16829,2017-01-01,2019-01-01,16664,1995-01-01,2019-01-01,16868,1977-01-01,2019-01-01,16878,1995-01-01,2018-01-01,16707,1971-01-01,2015-01-01,16874,2008-01-01,2018-01-01,16685,2003-01-01,2019-01-01,16814,1961-01-01,2019-01-01,16826,1997-01-01,2019-01-01,16826,1997-01-01,2019-01-01,16859,1985-01-01,2017-01-01
HR,Croatia,9695,1995-01-01,2019-01-01,9753,1991-01-01,2019-01-01,9728,1992-01-01,2019-01-01,9638,1992-01-01,2019-01-01,9751,2017-01-01,2019-01-01,9574,1996-01-01,2019-01-01,9795,1993-01-01,2019-01-01,9815,1995-01-01,2018-01-01,9623,1990-01-01,2015-01-01,9811,2008-01-01,2018-01-01,9598,2003-01-01,2019-01-01,9736,1986-01-01,2019-01-01,9749,1996-01-01,2014-01-01,9749,1996-01-01,2014-01-01,9783,1960-01-01,2019-01-01
HU,Hungary,18235,1991-01-01,2019-01-01,18309,1960-01-01,2019-01-01,18278,1960-01-01,2019-01-01,18170,1960-01-01,2019-01-01,18305,2017-01-01,2019-01-01,18079,1995-01-01,2019-01-01,18366,1995-01-01,2019-01-01,18394,1995-01-01,2018-01-01,18152,1965-01-01,2015-01-01,18386,2008-01-01,2018-01-01,18120,2003-01-01,2020-01-01,18290,1973-01-01,2019-01-01,18303,1992-01-01,2019-01-01,18303,1992-01-01,2019-01-01,18354,1960-01-01,2019-01-01
ID,Indonesia,19139,2000-01-01,2013-01-01,19211,1961-01-01,2019-01-01,19181,1960-01-01,2019-01-01,19072,1960-01-01,2019-01-01,19209,2017-01-01,2019-01-01,18997,2005-01-01,2019-01-01,19258,1983-01-01,2019-01-01,19274,1995-01-01,2018-01-01,19054,1971-01-01,2015-01-01,19266,2008-01-01,2018-01-01,19028,2003-01-01,2020-01-01,19190,1961-01-01,2019-01-01,19205,1986-01-01,2019-01-01,19205,1986-01-01,2019-01-01,19247,1960-01-01,2019-01-01
