country_code,country,gdp_per_capita,gdp_per_capita_from_date,gdp_per_capita_to_date,labor_force_participation_rate,labor_force_participation_rate_from_date,labor_force_participation_rate_to_date,imports,imports_from_date,imports_to_date,exports,exports_from_date,exports_to_date,internet_speed,internet_speed_from_date,internet_speed_to_date,capital_flows,capital_flows_from_date,capital_flows_to_date,remittances,remittances_from_date,remittances_to_date,tourism_revenue,tourism_revenue_from_date,tourism_revenue_to_date,electricity_production,electricity_production_from_date,electricity_production_to_date,steel_production,steel_production_from_date,steel_production_to_date,corporate_tax_rate,corporate_tax_rate_from_date,corporate_tax_rate_to_date,inflation_rate,inflation_rate_from_date,inflation_rate_to_date,interest_rate,interest_rate_from_date,interest_rate_to_date,unemployment_rate,unemployment_from_date,unemployment_to_date,population,population_from_date,population_to_date
RS,Serbia,35744,1995-01-01,2019-01-01,35784,2004-01-01,2019-01-01,35761,2006-01-01,2019-01-01,35705,2006-01-01,2019-01-01,35782,2017-01-01,2019-01-01,35664,2007-01-01,2019-01-01,35814,2007-01-01,2019-01-01,35825,2002-01-01,2018-01-01,35695,1990-01-01,2015-01-01,35822,2008-01-01,2018-01-01,35677,2003-01-01,2020-01-01,35767,1995-01-01,2019-01-01,35779,1997-01-01,2015-01-01,35779,1997-01-01,2015-01-01,35806,1990-01-01,2019-01-01
RU,Russia,33905,1988-01-01,2019-01-01,33965,1989-01-01,2018-01-01,33940,1992-01-01,2019-01-01,33847,1992-01-01,2019-01-01,33963,2017-01-01,2019-01-01,33784,1994-01-01,2019-01-01,34006,1994-01-01,2019-01-01,34032,1995-01-01,2018-01-01,33834,1990-01-01,2015-01-01,34024,2008-01-01,2018-01-01,33809,2003-01-01,2020-01-01,33948,1993-01-01,2019-01-01,33959,1997-01-01,2019-01-01,33959,1997-01-01,2019-01-01,33995,2000-01-01,2020-01-01
SE,Sweden,39679,1960-01-01,2019-01-01,39741,1965-01-01,2019-01-01,39714,1960-01-01,2019-01-01,39630,1960-01-01,2019-01-01,39738,2017-01-01,2019-01-01,39566,1997-01-01,2019-01-01,39778,1970-01-01,2019-01-01,39801,1995-01-01,2018-01-01,39618,1960-01-01,2015-01-01,39794,2008-01-01,2018-01-01,39593,2003-01-01,2019-01-01,39723,1961-01-01,2019-01-01,39734,1992-01-01,2006-01-01,39734,1992-01-01,2006-01-01,39768,1946-01-01,2018-01-01
SY,Syria,40159,1960-01-01,2007-01-01,40185,1960-01-01,2011-01-01,40169,1950-01-01,2010-01-01,40131,1950-01-01,2010-01-01,40183,2017-01-01,2019-01-01,40095,1993-01-01,2010-01-01,40202,1977-01-01,2019-01-01,40212,1995-01-01,2011-01-01,40121,1971-01-01,2015-01-01,40207,2008-01-01,2018-01-01,40108,2003-01-01,2019-01-01,40175,1961-01-01,2012-01-01,40182,1998-01-01,2007-01-01,40182,1998-01-01,2007-01-01,40196,1960-01-01,2019-01-01
TH,Thailand,41007,1960-01-01,2019-01-01,41062,1976-01-01,2019-01-01,41038,1960-01-01,2019-01-01,40952,1960-01-01,2019-01-01,41060,2017-01-01,2019-01-01,40893,2009-01-01,2019-01-01,41097,1975-01-01,2019-01-01,41110,1995-01-01,2018-01-01,40938,1971-01-01,2015-01-01,41104,2008-01-01,2018-01-01,40915,2003-01-01,2019-01-01,41046,1961-01-01,2019-01-01,41057,1976-01-01,2019-01-01,41057,1976-01-01,2019-01-01,41087,1960-01-01,2019-01-01
TT,Trinidad and Tobago,41601,1960-01-01,2019-01-01,41648,1960-01-01,2016-01-01,41627,1960-01-01,2019-01-01,41552,1960-01-01,2019-01-01,41646,2017-01-01,2019-01-01,41501,2016-01-01,2018-01-01,41682,1975-01-01,2019-01-01,41697,1995-01-01,2018-01-01,41540,1971-01-01,2015-01-01,41691,2008-01-01,2016-01-01,41518,2012-01-01,2018-01-01,41634,1961-01-01,2018-01-01,41642,1979-01-01,2019-01-01,41642,1979-01-01,2019-01-01,41673,1954-07-01,2016-07-01
TZ,Tanzania,40760,2005-01-01,2017-01-01,40816,1990-01-01,2025-01-01,40793,1960-01-01,2019-01-01,40699,1960-01-01,2019-01-01,40814,2017-01-01,2019-01-01,40635,1997-01-01,2016-01-01,40853,2012-01-01,2025-01-01,40865,2008-01-01,2017-01-01,40688,1971-01-01,2015-01-01,40859,1993-01-01,2018-01-01,40659,2009-01-01,2018-01-01,40800,1966-01-01,2019-01-01,40812,1989-01-01,2019-01-01,40812,1989-01-01,2019-01-01,40842,1950-01-01,2025-01-01
UA,Ukraine,43052,2010-01-01,2018-01-01,43113,1970-01-01,2019-01-01,43086,1992-01-01,2019-01-01,42992,1992-01-01,2019-01-01,43110,2017-01-01,2019-01-01,42918,1994-01-01,2019-01-01,43171,1996-01-01,2019-01-01,43189,1995-01-01,2018-01-01,42976,1990-01-01,2015-01-01,43184,2008-01-01,2018-01-01,42949,2003-01-01,2020-01-01,43094,1993-01-01,2019-01-01,43108,1992-01-01,2019-01-01,43108,1992-01-01,2019-01-01,43156,1960-01-01,2019-01-01
UK,United Kingdom,43525,1960-01-01,2019-01-01,43593,1961-01-01,2019-01-01,43564,1960-01-01,2019-01-01,43469,1960-01-01,2019-01-01,43590,2017-01-01,2019-01-01,43401,1987-01-01,2019-01-01,43633,1987-01-01,2019-01-01,43658,1995-01-01,2018-01-01,43453,1960-01-01,2015-01-01,43651,2008-01-01,2018-01-01,43426,2003-01-01,2019-01-01,43574,1961-01-01,2019-01-01,43586,1967-01-01,2014-01-01,43586,1967-01-01,2014-01-01,43622,1960-01-01,2019-01-01
US,United States,43811,1997-01-01,2017-01-01,43876,1960-01-01,2019-01-01,43847,1960-01-01,2019-01-01,43765,1960-01-01,2019-01-01,43872,2017-01-01,2019-01-01,43696,1989-01-01,2019-01-01,43930,1977-01-01,2019-01-01,43951,1995-01-01,2018-01-01,43749,1960-01-01,2015-01-01,43945,2008-01-01,2018-01-01,43724,2003-01-01,2020-01-01,43857,1961-01-01,2019-01-01,43868,1961-01-01,2019-01-01,43868,1961-01-01,2019-01-01,43917,1960-01-01,2019-01-01
UY,Uruguay,44108,1960-01-01,2019-01-01,44165,1963-01-01,2019-01-01,44139,1960-01-01,2019-01-01,44050,1960-01-01,2019-01-01,44163,2017-01-01,2019-01-01,43987,2003-01-01,2019-01-01,44216,1979-01-01,2019-01-01,44228,1995-01-01,2018-01-01,44032,1971-01-01,2015-01-01,44223,2008-01-01,2018-01-01,44008,2003-01-01,2020-01-01,44146,1961-01-01,2019-01-01,44159,1976-01-01,2019-01-01,44159,1976-01-01,2019-01-01,44201,1960-01-01,2019-01-01
VE,Venezuela,44705,1960-01-01,2014-01-01,44751,1961-01-01,2013-01-01,44728,1960-01-01,2019-01-01,44658,1960-01-01,2019-01-01,44749,2017-01-01,2019-01-01,44598,2010-01-01,2015-01-01,44790,1985-01-01,2019-01-01,44803,1995-01-01,2016-01-01,44643,1971-01-01,2015-01-01,44797,2008-01-01,2018-01-01,44618,2003-01-01,2020-01-01,44735,2009-01-01,2016-01-01,44748,1984-01-01,2014-01-01,44748,1984-01-01,2014-01-01,44778,1960-01-01,2019-01-01
ZA,South Africa,37664,1960-01-01,2019-01-01,37734,1960-01-01,2019-01-01,37706,1960-01-01,2019-01-01,37593,1960-01-01,2019-01-01,37732,2017-01-01,2019-01-01,37505,1997-01-01,2019-01-01,37793,1970-01-01,2019-01-01,37819,1995-01-01,2018-01-01,37574,1971-01-01,2015-01-01,37810,2008-01-01,2018-01-01,37542,2003-01-01,2020-01-01,37715,1961-01-01,2019-01-01,37729,1961-01-01,2019-01-01,37729,1961-01-01,2019-01-01,37778,1960-01-01,2019-01-01
