country_code,country,gdp_per_capita,gdp_per_capita_from_date,gdp_per_capita_to_date,labor_force_participation_rate,labor_force_participation_rate_from_date,labor_force_participation_rate_to_date,imports,imports_from_date,imports_to_date,exports,exports_from_date,exports_to_date,internet_speed,internet_speed_from_date,internet_speed_to_date,capital_flows,capital_flows_from_date,capital_flows_to_date,remittances,remittances_from_date,remittances_to_date,tourism_revenue,tourism_revenue_from_date,tourism_revenue_to_date,electricity_production,electricity_production_from_date,electricity_production_to_date,steel_production,steel_production_from_date,steel_production_to_date,corporate_tax_rate,corporate_tax_rate_from_date,corporate_tax_rate_to_date,inflation_rate,inflation_rate_from_date,inflation_rate_to_date,interest_rate,interest_rate_from_date,interest_rate_to_date,unemployment_rate,unemployment_from_date,unemployment_to_date,population,population_from_date,population_to_date
NZ,New Zealand,29392,1/1/60,1/1/19,29466,1/1/86,1/1/19,29432,1/1/60,1/1/19,29328,1/1/60,1/1/19,29462,1/1/17,1/1/19,29249,1/1/00,1/1/19,29526,1/1/72,1/1/19,29547,1/1/95,1/1/18,29310,1/1/60,1/1/15,29542,1/1/08,1/1/18,29280,1/1/03,1/1/20,29442,1/1/61,1/1/19,29458,1/1/98,1/1/17,29458,1/1/98,1/1/17,29512,1/1/60,1/1/19
OM,Oman,30732,1/1/60,1/1/19,30772,1/1/00,1/1/18,30749,1/1/60,1/1/19,30686,1/1/60,1/1/19,30770,1/1/17,1/1/19,30633,1/1/04,1/1/18,30803,1/1/78,1/1/19,30812,1/1/96,1/1/18,30675,1/1/71,1/1/15,30809,1/1/11,1/1/18,30650,1/1/03,1/1/20,30755,1/1/01,1/1/19,30769,1/1/84,1/1/17,30769,1/1/84,1/1/17,30791,1/1/60,1/1/19
PE,Peru,31972,1/1/60,1/1/19,32027,1/1/61,1/1/19,32000,1/1/60,1/1/19,31915,1/1/60,1/1/19,32025,1/1/17,1/1/19,31854,1/1/85,1/1/18,32066,1/1/90,1/1/19,32078,1/1/95,1/1/18,31900,1/1/71,1/1/15,32072,1/1/08,1/1/18,31875,1/1/03,1/1/20,32007,1/1/61,1/1/19,32021,1/1/85,1/1/17,32021,1/1/85,1/1/17,32055,1/1/60,1/1/19
PK,Pakistan,30948,4/1/99,4/1/18,31007,4/1/89,4/1/17,30981,1/1/60,1/1/19,30896,1/1/60,1/1/19,31005,1/1/17,1/1/19,30831,1/1/79,1/1/19,31051,1/1/76,1/1/19,31064,1/1/95,1/1/18,30880,1/1/71,1/1/15,31058,1/1/08,1/1/18,30856,1/1/03,1/1/20,30989,1/1/61,1/1/19,31003,1/1/04,1/1/19,31003,1/1/04,1/1/19,31040,4/1/80,4/1/17
PY,Paraguay,31717,1/1/50,1/1/19,31772,1/1/04,1/1/17,31746,1/1/60,1/1/19,31657,1/1/60,1/1/19,31770,1/1/17,1/1/19,31605,1/1/90,1/1/19,31814,1/1/75,1/1/19,31822,1/1/95,1/1/18,31646,1/1/71,1/1/15,31817,1/1/08,1/1/18,31625,1/1/03,1/1/20,31752,1/1/61,1/1/19,31766,1/1/94,1/1/17,31766,1/1/94,1/1/17,31801,1/1/01,1/1/17
QA,Qatar,33321,1/1/70,1/1/19,33369,1/1/86,1/1/18,33345,1/1/69,1/1/18,33266,1/1/69,1/1/18,33367,1/1/17,1/1/19,33205,1/1/00,1/1/19,33404,1/1/11,1/1/19,33416,1/1/99,1/1/18,33249,1/1/71,1/1/15,33410,1/1/08,1/1/18,33225,1/1/03,1/1/20,33350,1/1/80,1/1/19,33363,1/1/04,1/1/19,33363,1/1/04,1/1/19,33395,1/1/86,1/1/13
RO,Romania,33604,1/1/81,1/1/19,33669,1/1/66,1/1/19,33640,1/1/60,1/1/19,33542,1/1/60,1/1/19,33666,1/1/17,1/1/19,33470,1/1/93,1/1/19,33726,1/1/94,1/1/19,33745,1/1/95,1/1/18,33528,1/1/71,1/1/15,33740,1/1/08,1/1/18,33501,1/1/03,1/1/20,33650,1/1/91,1/1/19,33664,1/1/93,1/1/19,33664,1/1/93,1/1/19,33714,1/1/60,1/1/19
RS,Serbia,35744,1/1/95,1/1/19,35784,1/1/04,1/1/19,35761,1/1/06,1/1/19,35705,1/1/06,1/1/19,35782,1/1/17,1/1/19,35664,1/1/07,1/1/19,35814,1/1/07,1/1/19,35825,1/1/02,1/1/18,35695,1/1/90,1/1/15,35822,1/1/08,1/1/18,35677,1/1/03,1/1/20,35767,1/1/95,1/1/19,35779,1/1/97,1/1/15,35779,1/1/97,1/1/15,35806,1/1/90,1/1/19
SE,Sweden,39679,1/1/60,1/1/19,39741,1/1/65,1/1/19,39714,1/1/60,1/1/19,39630,1/1/60,1/1/19,39738,1/1/17,1/1/19,39566,1/1/97,1/1/19,39778,1/1/70,1/1/19,39801,1/1/95,1/1/18,39618,1/1/60,1/1/15,39794,1/1/08,1/1/18,39593,1/1/03,1/1/19,39723,1/1/61,1/1/19,39734,1/1/92,1/1/06,39734,1/1/92,1/1/06,39768,1/1/46,1/1/18
SY,Syria,40159,1/1/60,1/1/07,40185,1/1/60,1/1/11,40169,1/1/50,1/1/10,40131,1/1/50,1/1/10,40183,1/1/17,1/1/19,40095,1/1/93,1/1/10,40202,1/1/77,1/1/19,40212,1/1/95,1/1/11,40121,1/1/71,1/1/15,40207,1/1/08,1/1/18,40108,1/1/03,1/1/19,40175,1/1/61,1/1/12,40182,1/1/98,1/1/07,40182,1/1/98,1/1/07,40196,1/1/60,1/1/19
